key,locale,package,origin_text,text
activity::notification.user_commented_to_your_post_in_name,ru,metafox/activity,"<b>{user}</b> commented on {user_name, select, your{your} other{<b>{user_name}'s</b>}} post in <b>{owner_name}</b>.",
activity::notification.user_reacted_to_a_post_you_shared,ru,metafox/activity,"<b>{user}</b> reacted to a post you shared.",
activity::notification.user_reacted_to_post_that_you_are_tagged_in_owner_name,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post that you are tagged in <b>:owner_name</b>: "":feed_content"".} other { reacted to a post that you are tagged in <b>:owner_name</b>.}}",
activity::notification.user_reacted_to_post_you_are_tagged_title,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post you are tagged in: "":feed_content"".} other { reacted to a post you are tagged in.}}",
activity::notification.user_reacted_to_your_post,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post: <b>{title}</b>} other { reacted to your post.}}",
activity::notification.user_reacted_to_your_post_in_name,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post in <b>{owner_name}</b>: <b>{title}</b>.} other { reacted to your post in <b>{owner_name}</b>.}}",
activity::permission.can_approve_activity_post_desc,ru,metafox/activity,,
activity::permission.can_approve_activity_post_label,ru,metafox/activity,"Can approve pending activity posts?",
activity::permission.can_approve_share_desc,ru,metafox/activity,,
activity::permission.can_approve_share_label,ru,metafox/activity,"Can approve post share?",
activity::permission.can_can_purchase_sponsor_feed_desc,ru,metafox/activity,,
activity::permission.can_can_purchase_sponsor_feed_label,ru,metafox/activity,"Can sponsor own activity feed?",
activity::permission.can_can_sponsor_feed_feed_desc,ru,metafox/activity,,
activity::permission.can_can_sponsor_feed_feed_label,ru,metafox/activity,"Can sponsor activity feed without paying sponsor fee?",
activity::permission.can_create_activity_snooze_desc,ru,metafox/activity,,
activity::permission.can_create_activity_snooze_label,ru,metafox/activity,"Can create snoozes?",
activity::permission.can_create_feed_desc,ru,metafox/activity,,
activity::permission.can_create_feed_label,ru,metafox/activity,"Can create activity feed?",
activity::permission.can_create_share_desc,ru,metafox/activity,,
activity::permission.can_create_share_label,ru,metafox/activity,"Can create posts share?",
activity::permission.can_delete_activity_snooze_desc,ru,metafox/activity,,
activity::permission.can_delete_activity_snooze_label,ru,metafox/activity,"Can delete snoozes?",
activity::permission.can_delete_feed_desc,ru,metafox/activity,,
activity::permission.can_delete_feed_label,ru,metafox/activity,"Can delete activity feed?",
activity::permission.can_delete_share_desc,ru,metafox/activity,,
activity::permission.can_delete_share_label,ru,metafox/activity,"Can delete posts share?",
activity::permission.can_hide_feed_desc,ru,metafox/activity,,
activity::permission.can_hide_feed_label,ru,metafox/activity,"Can hide activity feed?",
activity::permission.can_moderate_activity_snooze_desc,ru,metafox/activity,,
activity::permission.can_moderate_activity_snooze_label,ru,metafox/activity,"Can moderate snoozes?",
activity::permission.can_moderate_feed_desc,ru,metafox/activity,,
activity::permission.can_moderate_feed_label,ru,metafox/activity,"Can moderate activity feed?",
activity::permission.can_moderate_share_desc,ru,metafox/activity,,
activity::permission.can_moderate_share_label,ru,metafox/activity,"Can moderate post share?",
activity::permission.can_pin_feed_desc,ru,metafox/activity,,
activity::permission.can_pin_feed_label,ru,metafox/activity,"Can pin activity feed?",
activity::permission.can_pin_home_feed_desc,ru,metafox/activity,,
activity::permission.can_pin_home_feed_label,ru,metafox/activity,"Can pin posts on home page",
activity::permission.can_purchase_sponsor_activity_post_desc,ru,metafox/activity,,
activity::permission.can_purchase_sponsor_activity_post_label,ru,metafox/activity,"Can sponsor activity posts?",
activity::permission.can_report_activity_post_desc,ru,metafox/activity,,
activity::permission.can_report_activity_post_label,ru,metafox/activity,"Can report posts?",
activity::permission.can_report_feed_desc,ru,metafox/activity,,
activity::permission.can_report_feed_label,ru,metafox/activity,"Can report activity feed?",
activity::permission.can_save_activity_post_desc,ru,metafox/activity,,
activity::permission.can_save_activity_post_label,ru,metafox/activity,"Can save posts?",
activity::permission.can_sponsor_in_feed_activity_post_desc,ru,metafox/activity,,
activity::permission.can_sponsor_in_feed_activity_post_label,ru,metafox/activity,"Can sponsor activity posts in feed without paying sponsor fee?",
activity::permission.can_update_activity_snooze_desc,ru,metafox/activity,,
activity::permission.can_update_activity_snooze_label,ru,metafox/activity,"Can update snoozes?",
activity::permission.can_update_feed_desc,ru,metafox/activity,,
activity::permission.can_update_feed_label,ru,metafox/activity,"Can edit activity feed?",
activity::permission.can_update_share_desc,ru,metafox/activity,,
activity::permission.can_update_share_label,ru,metafox/activity,"Can edit posts share?",
activity::permission.can_view_activity_snooze_desc,ru,metafox/activity,,
activity::permission.can_view_activity_snooze_label,ru,metafox/activity,"Can view snoozes?",
activity::permission.can_view_feed_desc,ru,metafox/activity,,
activity::permission.can_view_feed_label,ru,metafox/activity,"Can view activity feeds?",
activity::permission.can_view_share_desc,ru,metafox/activity,,
activity::permission.can_view_share_label,ru,metafox/activity,"Can view posts share?",
activity::phrase.activities,ru,metafox/activity,Activities,
activity::phrase.activity,ru,metafox/activity,Feed,
activity::phrase.activity_feed_approved_notification_type,ru,metafox/activity,"Approve Pending Feed",
activity::phrase.activity_feed_declined_notification_type,ru,metafox/activity,"Decline Pending Feed",
activity::phrase.activity_feed_pending_notification_type,ru,metafox/activity,"Pending Feed",
activity::phrase.activity_feed_tagged_notification_type,ru,metafox/activity,"Tagged In Feed",
activity::phrase.activity_notification_type,ru,metafox/activity,"Feed Notifications",
activity::phrase.activity_post_label_saved,ru,metafox/activity,Post,
activity::phrase.activity_post_type,ru,metafox/activity,"Activity Post Type",
activity::phrase.activity_share_type,ru,metafox/activity,"Activity Share Type",
activity::phrase.activity_type_can_comment,ru,metafox/activity,"Can users comment on this activity type?",
activity::phrase.activity_type_can_create_feed,ru,metafox/activity,"Create Feed",
activity::phrase.activity_type_can_edit,ru,metafox/activity,"Can users edit status this activity type?",
activity::phrase.activity_type_can_like,ru,metafox/activity,"Can users react on this activity type?",
activity::phrase.activity_type_can_put_stream,ru,metafox/activity,"Add this activity feed to the owner's timeline?",
activity::phrase.activity_type_can_redirect_to_detail,ru,metafox/activity,"The feed of activity type can be redirected to detail page of item.",
activity::phrase.activity_type_can_share,ru,metafox/activity,"Can users share this activity type?",
activity::phrase.add_new_item,ru,metafox/activity,"Added media attachments",
activity::phrase.app_name,ru,metafox/activity,Feed,
activity::phrase.attachment_is_not_valid,ru,metafox/activity,"Attachment is not available",
activity::phrase.captcha_on_create_activity_post,ru,metafox/activity,"Enable CAPTCHA challenge when posting new status",
activity::phrase.check_in,ru,metafox/activity,Check-in,
activity::phrase.copy_link,ru,metafox/activity,"Copy link",
activity::phrase.create_post_form,ru,metafox/activity,"Create post form",
activity::phrase.decline_post_and_block_author,ru,metafox/activity,"Decline post and block author",
activity::phrase.delete_confirm,ru,metafox/activity,"Are you sure you want to permanently delete this post?",
activity::phrase.deleted_item,ru,metafox/activity,"The media files have been removed from this post.",
activity::phrase.delete_post,ru,metafox/activity,"Delete Post",
activity::phrase.edit_activity_type,ru,metafox/activity,"Edit Activity Type",
activity::phrase.edit_post,ru,metafox/activity,"Edit Post",
activity::phrase.enable_this_activity_type,ru,metafox/activity,"Enable this activity type?",
activity::phrase.feed,ru,metafox/activity,Feed,
activity::phrase.feed_cannot_be_created,ru,metafox/activity,"Feed cannot be created.",
activity::phrase.feed_created_successfully,ru,metafox/activity,"Post has been created successfully.",
activity::phrase.feed_default_privacy,ru,metafox/activity,"Feed default privacy",
activity::phrase.feed_deleted_successfully,ru,metafox/activity,"Post has been deleted successfully.",
activity::phrase.feed_edit_successfully,ru,metafox/activity,"Post has been edited successfully.",
activity::phrase.feed_global_search_label,ru,metafox/activity,Posts,
activity::phrase.feed_label_saved,ru,metafox/activity,Feed,
activity::phrase.hide_all_from_owner_full_name,ru,metafox/activity,"Hide All From :owner_full_name",
activity::phrase.hide_all_from_shared_owner_full_name,ru,metafox/activity,"Hide All From :shared_owner_full_name",
activity::phrase.hide_all_from_shared_user_full_name,ru,metafox/activity,"Hide All From :shared_user_full_name",
activity::phrase.hide_all_from_user_full_name,ru,metafox/activity,"Hide All From :user_full_name",
activity::phrase.hide_this_post,ru,metafox/activity,"Hide this Post",
activity::phrase.is_system_activity_type,ru,metafox/activity,"Is system activity type?",
activity::phrase.no_content,ru,metafox/activity,"No Content",
activity::phrase.permission.activity_post.create,ru,metafox/activity,"Activity Post Create Permission",
activity::phrase.permission.activity_post.delete,ru,metafox/activity,"Activity Post Delete Permission",
activity::phrase.permission.activity_post.moderate,ru,metafox/activity,"Activity Post Moderate Permission",
activity::phrase.permission.activity_post.update,ru,metafox/activity,"Activity Post Update Permission",
activity::phrase.permission.activity_post.view,ru,metafox/activity,"Activity Post View Permission",
activity::phrase.permission.activity_snooze.create,ru,metafox/activity,"Activity Snooze Create Permission",
activity::phrase.permission.activity_snooze.delete,ru,metafox/activity,"Activity Snooze Delete Permission",
activity::phrase.permission.activity_snooze.moderate,ru,metafox/activity,"Activity Snooze Moderate Permission",
activity::phrase.permission.activity_snooze.update,ru,metafox/activity,"Activity Snooze Update Permission",
activity::phrase.permission.activity_snooze.view,ru,metafox/activity,"Activity Snooze View Permission",
activity::phrase.permission.feed.can_purchase_sponsor,ru,metafox/activity,"Activity Feed Can Purchase Sponsor Permission",
activity::phrase.permission.feed.can_sponsor_feed,ru,metafox/activity,"Activity Feed Can Sponsor Feed Permission",
activity::phrase.permission.feed.create,ru,metafox/activity,"Activity Feed Create Permission",
activity::phrase.permission.feed.delete,ru,metafox/activity,"Activity Feed Delete Permission",
activity::phrase.permission.feed.hide,ru,metafox/activity,"Activity Feed Hide Permission",
activity::phrase.permission.feed.moderate,ru,metafox/activity,"Activity Feed Moderate Permission",
activity::phrase.permission.feed.update,ru,metafox/activity,"Activity Feed Update Permission",
activity::phrase.permission.feed.view,ru,metafox/activity,"Activity Feed View Permission",
activity::phrase.permissions,ru,metafox/activity,Permissions,
activity::phrase.pin_post,ru,metafox/activity,"Pin this Post to your Profile",
activity::phrase.pin_post_on_homepage,ru,metafox/activity,"Pin Post on Homepage",
activity::phrase.pin_this_post_to_your_profile,ru,metafox/activity,"Pin this Post to your Profile",
activity::phrase.poll,ru,metafox/activity,Poll,
activity::phrase.post_in_process_message,ru,metafox/activity,"Your post is being processed. We'll let you know when it is ready to view.",
activity::phrase.posts,ru,metafox/activity,Posts,
activity::phrase.post_successfully_removed,ru,metafox/activity,"Post has been successfully removed.",
activity::phrase.removed_item,ru,metafox/activity,"Removed media attachments",
activity::phrase.removed_tag_successfully,ru,metafox/activity,"Removed tag successfully",
activity::phrase.remove_from_saved_list,ru,metafox/activity,"Remove from Saved list",
activity::phrase.remove_post,ru,metafox/activity,"Remove Post",
activity::phrase.remove_tag,ru,metafox/activity,"Remove Tag",
activity::phrase.report,ru,metafox/activity,Report,
activity::phrase.report_item,ru,metafox/activity,"Report Item",
activity::phrase.report_to_group_admins,ru,metafox/activity,"Report to group admins",
activity::phrase.save_post,ru,metafox/activity,Save,
activity::phrase.settings,ru,metafox/activity,Settings,
activity::phrase.share_a_post_to_newsfeed,ru,metafox/activity,"shared a post to newsfeed",
activity::phrase.share_default_privacy,ru,metafox/activity,"Share default privacy",
activity::phrase.shared_successfully,ru,metafox/activity,"Shared successfully",
activity::phrase.shared_to_feed,ru,metafox/activity,"Shared to feed",
activity::phrase.share_now,ru,metafox/activity,"Share now",
activity::phrase.share_on_friends,ru,metafox/activity,"Share on a friend's profile",
activity::phrase.share_on_group,ru,metafox/activity,"Share on a Group",
activity::phrase.share_on_page,ru,metafox/activity,"Share on a Page",
activity::phrase.share_to_news_feed,ru,metafox/activity,"Share to News Feed",
activity::phrase.site_settings,ru,metafox/activity,"Activity Settings",
activity::phrase.snooze_owner_full_name_for_30_days,ru,metafox/activity,"Snooze :owner_full_name For 30 Days",
activity::phrase.snooze_shared_owner_full_name_for_30_days,ru,metafox/activity,"Snooze :shared_owner_full_name For 30 Days",
activity::phrase.snooze_shared_user_full_name_for_30_days,ru,metafox/activity,"Snooze :shared_user_full_name For 30 Days",
activity::phrase.snooze_user_full_name_for_30_days,ru,metafox/activity,"Snooze :user_full_name For 30 Days",
activity::phrase.sponsor_in_feed,ru,metafox/activity,"Sponsor In Feed",
activity::phrase.status,ru,metafox/activity,Status,
activity::phrase.status_background,ru,metafox/activity,"Status Background",
activity::phrase.successfully_posted_please_waiting_for_approve,ru,metafox/activity,"Successfully posted. Please wait for approval.",
activity::phrase.tag_friends,ru,metafox/activity,"Tag Friends",
activity::phrase.thanks_for_editting_your_post_for_approval,ru,metafox/activity,"Thanks for editting your post! Please wait for approval.",
activity::phrase.thanks_for_your_post_for_approval,ru,metafox/activity,"Thanks for your post! It's been submitted to admins for approval.",
activity::phrase.this_user_has_been_blocked_and_the_post_has_been_declined,ru,metafox/activity,"This user has been blocked and the post has been declined.",
activity::phrase.title,ru,metafox/activity,Title,
activity::phrase.types,ru,metafox/activity,Types,
activity::phrase.unable_to_share_this_post_due_to_privacy_setting,ru,metafox/activity,"Unable to share this post due to privacy",
activity::phrase.unpin_post,ru,metafox/activity,"Unpin Post",
activity::phrase.unpin_post_on_homepage,ru,metafox/activity,"Unpin Post On Home Page",
activity::phrase.unsponsor_in_feed,ru,metafox/activity,"Unsponsor In Feed",
activity::phrase.updated_item,ru,metafox/activity,"Updated media attachments",
activity::phrase.user_post_approved,ru,metafox/activity,":user's post has been approved.",
activity::phrase.user_post_declined,ru,metafox/activity,":user's post has been declined.",
activity::phrase.user_privacy.who_can_post_on_your_profile,ru,metafox/activity,"Who can post on your profile?",
activity::phrase.user_privacy.who_can_share_a_post,ru,metafox/activity,"Who can create posts?",
activity::phrase.user_privacy.who_can_view_your_activities_section_on_your_profile_page,ru,metafox/activity,"Who can view the posts or activities on your profile?",
activity::phrase.user_status,ru,metafox/activity,"User Status",
activity::phrase.video,ru,metafox/activity,Video,
activity::phrase.view_edit_history,ru,metafox/activity,"View Edit History",
activity::phrase.your_post_has_been_submitted_to_group_admins_for_approval,ru,metafox/activity,"Your post has been submitted to group admins for approval.",
activitypoint::mail.points_added,ru,metafox/activity-point,"An administrator gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.points_revoked,ru,metafox/activity-point,"{points, plural, one {Your point has been revoked by an administrator.} other {Your points has been revoked by an administrator.}}",
activitypoint::mail.purchase_package_fail,ru,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point} other {# activity points}} cannot be processed properly. Please try again later.",
activitypoint::mail.purchase_package_success,ru,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point has} other {# activity points have}} been processed successfully.",
activitypoint::mail.received_gifted_points,ru,metafox/activity-point,"<b>{user}</b> gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.received_gifted_points_subject,ru,metafox/activity-point,"{user} gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_desc,ru,metafox/activity-point,"If enabled, users of this role will be allowed to adjust activity points of members in the community.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_label,ru,metafox/activity-point,"Can adjust activity points of members?",
activitypoint::permission.can_can_gift_activity_points_activitypoint_desc,ru,metafox/activity-point,,
activitypoint::permission.can_can_gift_activity_points_activitypoint_label,ru,metafox/activity-point,"Can gift activity points to members?",
activitypoint::permission.can_can_purchase_points_activitypoint_desc,ru,metafox/activity-point,"Enable if allowing users to buy point packages.",
activitypoint::permission.can_can_purchase_points_activitypoint_label,ru,metafox/activity-point,"Can purchase activity points?",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_desc,ru,metafox/activity-point,"Enable if allowing users to use activity points to purchase items",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_label,ru,metafox/activity-point,"Can use activity points to purchase items?",
activitypoint::permission.can_create_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_package_label,ru,metafox/activity-point,"Can create activity point packages?",
activitypoint::permission.can_create_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_setting_label,ru,metafox/activity-point,"Can create activity point settings?",
activitypoint::permission.can_delete_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_package_label,ru,metafox/activity-point,"Can delete activity point packages?",
activitypoint::permission.can_delete_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_setting_label,ru,metafox/activity-point,"Can delete activity point settings?",
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_desc,ru,metafox/activity-point,,
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_label,ru,metafox/activity-point,"Maximum Activity Points users of this role can send to members in AdminCP > Member Points",
activitypoint::permission.can_moderate_activitypoint_desc,ru,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_label,ru,metafox/activity-point,"Can moderate activity points ?",
activitypoint::permission.can_moderate_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_package_label,ru,metafox/activity-point,"Can moderate activity points package?",
activitypoint::permission.can_moderate_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_setting_label,ru,metafox/activity-point,"Can moderate activity point settings?",
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_desc,ru,metafox/activity-point,,
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_label,ru,metafox/activity-point,"The period for sending Activity Points to members in AdminCP > Member Points",
activitypoint::permission.can_update_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_package_label,ru,metafox/activity-point,"Can update activity point packages?",
activitypoint::permission.can_update_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_setting_label,ru,metafox/activity-point,"Can update activity point settings?",
activitypoint::permission.can_view_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_package_label,ru,metafox/activity-point,"Can view activity point package details?",
activitypoint::permission.can_view_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_setting_label,ru,metafox/activity-point,"Can view activity point setting details?",
activitypoint::permission.can_view_any_activitypoint_package_desc,ru,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_package_label,ru,metafox/activity-point,"Can view all activity point packages?",
activitypoint::permission.can_view_any_activitypoint_setting_desc,ru,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_setting_label,ru,metafox/activity-point,"Can view all activity point settings?",
activitypoint::phrase.action,ru,metafox/activity-point,Action,
activitypoint::phrase.action_type,ru,metafox/activity-point,"Action Type",
activitypoint::phrase.activity_point,ru,metafox/activity-point,"Activity Point",
activitypoint::phrase.activitypoint,ru,metafox/activity-point,"Activity Points",
activitypoint::phrase.activitypoint_notification_type,ru,metafox/activity-point,"Activity Point Notifications",
activitypoint::phrase.activity_points,ru,metafox/activity-point,"Activity Points",
activitypoint::phrase.activity_post_create_action,ru,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_create_description,ru,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_post_on_other_action,ru,metafox/activity-point,"Share a post on other profile",
activitypoint::phrase.activity_post_post_on_wall_action,ru,metafox/activity-point,"Share a post on own profile",
activitypoint::phrase.add_new_package,ru,metafox/activity-point,"Add New Package",
activitypoint::phrase.adjust,ru,metafox/activity-point,Adjust,
activitypoint::phrase.adjust_point,ru,metafox/activity-point,"Adjust points",
activitypoint::phrase.adjust_points,ru,metafox/activity-point,"Adjust points",
activitypoint::phrase.announcement_create_action,ru,metafox/activity-point,"Create a new announcement",
activitypoint::phrase.announcement_create_description,ru,metafox/activity-point,"Create an new announcement",
activitypoint::phrase.app,ru,metafox/activity-point,App,
activitypoint::phrase.app_name,ru,metafox/activity-point,"Activity Point",
activitypoint::phrase.blog_create_action,ru,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.blog_create_description,ru,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.browse_package_transaction,ru,metafox/activity-point,,
activitypoint::phrase.browse_setting,ru,metafox/activity-point,"Point Settings",
activitypoint::phrase.browse_statistic,ru,metafox/activity-point,"Point Members",
activitypoint::phrase.browse_transaction,ru,metafox/activity-point,"Transaction History",
activitypoint::phrase.change_point_setting,ru,metafox/activity-point,"Change Point Setting",
activitypoint::phrase.comment_create_action,ru,metafox/activity-point,"Add a new comment",
activitypoint::phrase.comment_create_description,ru,metafox/activity-point,"Add a new comment",
activitypoint::phrase.conversation_rate_desc,ru,metafox/activity-point,,
activitypoint::phrase.conversation_rate_label,ru,metafox/activity-point,"Conversation Rate",
activitypoint::phrase.date,ru,metafox/activity-point,Date,
activitypoint::phrase.define_a_price,ru,metafox/activity-point,"Define a price in this currency",
activitypoint::phrase.earn_point,ru,metafox/activity-point,"Earned Points",
activitypoint::phrase.edit_package,ru,metafox/activity-point,"Edit Package",
activitypoint::phrase.enter_member_name,ru,metafox/activity-point,"Enter member name",
activitypoint::phrase.event_create_action,ru,metafox/activity-point,"Create a new event",
activitypoint::phrase.event_create_description,ru,metafox/activity-point,"Create a new event",
activitypoint::phrase.feed_create_action,ru,metafox/activity-point,"Create a new post",
activitypoint::phrase.feed_create_description,ru,metafox/activity-point,"Create a new post",
activitypoint::phrase.forum_post_create_action,ru,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_post_create_description,ru,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_thread_create_action,ru,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.forum_thread_create_description,ru,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.gifted_point_is_required,ru,metafox/activity-point,"Gifted point is required",
activitypoint::phrase.gifted_point_to_user,ru,metafox/activity-point,"Your points are gifted away.",
