key,locale,package,origin_text,text
activity::permission.can_can_sponsor_feed_feed_desc,de,metafox/activity,,
activity::permission.can_can_sponsor_feed_feed_label,de,metafox/activity,"Can sponsor activity feed without paying sponsor fee?",
activity::permission.can_create_activity_snooze_desc,de,metafox/activity,,
activity::permission.can_create_activity_snooze_label,de,metafox/activity,"Can create snoozes?",
activity::permission.can_create_feed_desc,de,metafox/activity,,
activity::permission.can_create_feed_label,de,metafox/activity,"Can create activity feed?",
activity::permission.can_create_share_desc,de,metafox/activity,,
activity::permission.can_create_share_label,de,metafox/activity,"Can create posts share?",
activity::permission.can_delete_activity_snooze_desc,de,metafox/activity,,
activity::permission.can_delete_activity_snooze_label,de,metafox/activity,"Can delete snoozes?",
activity::permission.can_delete_feed_desc,de,metafox/activity,,
activity::permission.can_delete_feed_label,de,metafox/activity,"Can delete activity feed?",
activity::permission.can_delete_share_desc,de,metafox/activity,,
activity::permission.can_delete_share_label,de,metafox/activity,"Can delete posts share?",
activity::permission.can_hide_feed_desc,de,metafox/activity,,
activity::permission.can_hide_feed_label,de,metafox/activity,"Can hide activity feed?",
activity::permission.can_moderate_activity_snooze_desc,de,metafox/activity,,
activity::permission.can_moderate_activity_snooze_label,de,metafox/activity,"Can moderate snoozes?",
activity::permission.can_moderate_feed_desc,de,metafox/activity,,
activity::permission.can_moderate_feed_label,de,metafox/activity,"Can moderate activity feed?",
activity::permission.can_moderate_share_desc,de,metafox/activity,,
activity::permission.can_moderate_share_label,de,metafox/activity,"Can moderate post share?",
activity::permission.can_pin_feed_desc,de,metafox/activity,,
activity::permission.can_pin_feed_label,de,metafox/activity,"Can pin activity feed?",
activity::permission.can_pin_home_feed_desc,de,metafox/activity,,
activity::permission.can_pin_home_feed_label,de,metafox/activity,"Can pin posts on home page",
activity::permission.can_purchase_sponsor_activity_post_desc,de,metafox/activity,,
activity::permission.can_purchase_sponsor_activity_post_label,de,metafox/activity,"Can sponsor activity posts?",
activity::permission.can_report_activity_post_desc,de,metafox/activity,,
activity::permission.can_report_activity_post_label,de,metafox/activity,"Can report posts?",
activity::permission.can_report_feed_desc,de,metafox/activity,,
activity::permission.can_report_feed_label,de,metafox/activity,"Can report activity feed?",
activity::permission.can_save_activity_post_desc,de,metafox/activity,,
activity::permission.can_save_activity_post_label,de,metafox/activity,"Can save posts?",
activity::permission.can_sponsor_in_feed_activity_post_desc,de,metafox/activity,,
activity::permission.can_sponsor_in_feed_activity_post_label,de,metafox/activity,"Can sponsor activity posts in feed without paying sponsor fee?",
activity::permission.can_update_activity_snooze_desc,de,metafox/activity,,
activity::permission.can_update_activity_snooze_label,de,metafox/activity,"Can update snoozes?",
activity::permission.can_update_feed_desc,de,metafox/activity,,
activity::permission.can_update_feed_label,de,metafox/activity,"Can edit activity feed?",
activity::permission.can_update_share_desc,de,metafox/activity,,
activity::permission.can_update_share_label,de,metafox/activity,"Can edit posts share?",
activity::permission.can_view_activity_snooze_desc,de,metafox/activity,,
activity::permission.can_view_activity_snooze_label,de,metafox/activity,"Can view snoozes?",
activity::permission.can_view_feed_desc,de,metafox/activity,,
activity::permission.can_view_feed_label,de,metafox/activity,"Can view activity feeds?",
activity::permission.can_view_share_desc,de,metafox/activity,,
activity::permission.can_view_share_label,de,metafox/activity,"Can view posts share?",
activity::phrase.activities,de,metafox/activity,Activities,
activity::phrase.activity,de,metafox/activity,Feed,
activity::phrase.activity_feed_approved_notification_type,de,metafox/activity,"Approve Pending Feed",
activity::phrase.activity_feed_declined_notification_type,de,metafox/activity,"Decline Pending Feed",
activity::phrase.activity_feed_pending_notification_type,de,metafox/activity,"Pending Feed",
activity::phrase.activity_feed_tagged_notification_type,de,metafox/activity,"Tagged In Feed",
activity::phrase.activity_notification_type,de,metafox/activity,"Feed Notifications",
activity::phrase.activity_post_label_saved,de,metafox/activity,Post,
activity::phrase.activity_post_type,de,metafox/activity,"Activity Post Type",
activity::phrase.activity_share_type,de,metafox/activity,"Activity Share Type",
activity::phrase.activity_type_can_comment,de,metafox/activity,"Can users comment on this activity type?",
activity::phrase.activity_type_can_create_feed,de,metafox/activity,"Create Feed",
activity::phrase.activity_type_can_edit,de,metafox/activity,"Can users edit status this activity type?",
activity::phrase.activity_type_can_like,de,metafox/activity,"Can users react on this activity type?",
activity::phrase.activity_type_can_put_stream,de,metafox/activity,"Add this activity feed to the owner's timeline?",
activity::phrase.activity_type_can_redirect_to_detail,de,metafox/activity,"The feed of activity type can be redirected to detail page of item.",
activity::phrase.activity_type_can_share,de,metafox/activity,"Can users share this activity type?",
activity::phrase.add_new_item,de,metafox/activity,"Added media attachments",
activity::phrase.app_name,de,metafox/activity,Feed,
activity::phrase.attachment_is_not_valid,de,metafox/activity,"Attachment is not available",
activity::phrase.captcha_on_create_activity_post,de,metafox/activity,"Enable CAPTCHA challenge when posting new status",
activity::phrase.check_in,de,metafox/activity,Check-in,
activity::phrase.copy_link,de,metafox/activity,"Copy link",
activity::phrase.create_post_form,de,metafox/activity,"Create post form",
activity::phrase.decline_post_and_block_author,de,metafox/activity,"Decline post and block author",
activity::phrase.delete_confirm,de,metafox/activity,"Are you sure you want to permanently delete this post?",
activity::phrase.deleted_item,de,metafox/activity,"The media files have been removed from this post.",
activity::phrase.delete_post,de,metafox/activity,"Delete Post",
activity::phrase.edit_activity_type,de,metafox/activity,"Edit Activity Type",
activity::phrase.edit_post,de,metafox/activity,"Edit Post",
activity::phrase.enable_this_activity_type,de,metafox/activity,"Enable this activity type?",
activity::phrase.feed,de,metafox/activity,Feed,
activity::phrase.feed_cannot_be_created,de,metafox/activity,"Feed cannot be created.",
activity::phrase.feed_created_successfully,de,metafox/activity,"Post has been created successfully.",
activity::phrase.feed_default_privacy,de,metafox/activity,"Feed default privacy",
activity::phrase.feed_deleted_successfully,de,metafox/activity,"Post has been deleted successfully.",
activity::phrase.feed_edit_successfully,de,metafox/activity,"Post has been edited successfully.",
activity::phrase.feed_global_search_label,de,metafox/activity,Posts,
activity::phrase.feed_label_saved,de,metafox/activity,Feed,
activity::phrase.hide_all_from_owner_full_name,de,metafox/activity,"Hide All From :owner_full_name",
activity::phrase.hide_all_from_shared_owner_full_name,de,metafox/activity,"Hide All From :shared_owner_full_name",
activity::phrase.hide_all_from_shared_user_full_name,de,metafox/activity,"Hide All From :shared_user_full_name",
activity::phrase.hide_all_from_user_full_name,de,metafox/activity,"Hide All From :user_full_name",
activity::phrase.hide_this_post,de,metafox/activity,"Hide this Post",
activity::phrase.is_system_activity_type,de,metafox/activity,"Is system activity type?",
activity::phrase.no_content,de,metafox/activity,"No Content",
activity::phrase.permission.activity_post.create,de,metafox/activity,"Activity Post Create Permission",
activity::phrase.permission.activity_post.delete,de,metafox/activity,"Activity Post Delete Permission",
activity::phrase.permission.activity_post.moderate,de,metafox/activity,"Activity Post Moderate Permission",
activity::phrase.permission.activity_post.update,de,metafox/activity,"Activity Post Update Permission",
activity::phrase.permission.activity_post.view,de,metafox/activity,"Activity Post View Permission",
activity::phrase.permission.activity_snooze.create,de,metafox/activity,"Activity Snooze Create Permission",
activity::phrase.permission.activity_snooze.delete,de,metafox/activity,"Activity Snooze Delete Permission",
activity::phrase.permission.activity_snooze.moderate,de,metafox/activity,"Activity Snooze Moderate Permission",
activity::phrase.permission.activity_snooze.update,de,metafox/activity,"Activity Snooze Update Permission",
activity::phrase.permission.activity_snooze.view,de,metafox/activity,"Activity Snooze View Permission",
activity::phrase.permission.feed.can_purchase_sponsor,de,metafox/activity,"Activity Feed Can Purchase Sponsor Permission",
activity::phrase.permission.feed.can_sponsor_feed,de,metafox/activity,"Activity Feed Can Sponsor Feed Permission",
activity::phrase.permission.feed.create,de,metafox/activity,"Activity Feed Create Permission",
activity::phrase.permission.feed.delete,de,metafox/activity,"Activity Feed Delete Permission",
activity::phrase.permission.feed.hide,de,metafox/activity,"Activity Feed Hide Permission",
activity::phrase.permission.feed.moderate,de,metafox/activity,"Activity Feed Moderate Permission",
activity::phrase.permission.feed.update,de,metafox/activity,"Activity Feed Update Permission",
activity::phrase.permission.feed.view,de,metafox/activity,"Activity Feed View Permission",
activity::phrase.permissions,de,metafox/activity,Permissions,
activity::phrase.pin_post,de,metafox/activity,"Pin this Post to your Profile",
activity::phrase.pin_post_on_homepage,de,metafox/activity,"Pin Post on Homepage",
activity::phrase.pin_this_post_to_your_profile,de,metafox/activity,"Pin this Post to your Profile",
activity::phrase.poll,de,metafox/activity,Poll,
activity::phrase.post_in_process_message,de,metafox/activity,"Your post is being processed. We'll let you know when it is ready to view.",
activity::phrase.posts,de,metafox/activity,Posts,
activity::phrase.post_successfully_removed,de,metafox/activity,"Post has been successfully removed.",
activity::phrase.removed_item,de,metafox/activity,"Removed media attachments",
activity::phrase.removed_tag_successfully,de,metafox/activity,"Removed tag successfully",
activity::phrase.remove_from_saved_list,de,metafox/activity,"Remove from Saved list",
activity::phrase.remove_post,de,metafox/activity,"Remove Post",
activity::phrase.remove_tag,de,metafox/activity,"Remove Tag",
activity::phrase.report,de,metafox/activity,Report,
activity::phrase.report_item,de,metafox/activity,"Report Item",
activity::phrase.report_to_group_admins,de,metafox/activity,"Report to group admins",
activity::phrase.save_post,de,metafox/activity,Save,
activity::phrase.settings,de,metafox/activity,Settings,
activity::phrase.share_a_post_to_newsfeed,de,metafox/activity,"shared a post to newsfeed",
activity::phrase.share_default_privacy,de,metafox/activity,"Share default privacy",
activity::phrase.shared_successfully,de,metafox/activity,"Shared successfully",
activity::phrase.shared_to_feed,de,metafox/activity,"Shared to feed",
activity::phrase.share_now,de,metafox/activity,"Share now",
activity::phrase.share_on_friends,de,metafox/activity,"Share on a friend's profile",
activity::phrase.share_on_group,de,metafox/activity,"Share on a Group",
activity::phrase.share_on_page,de,metafox/activity,"Share on a Page",
activity::phrase.share_to_news_feed,de,metafox/activity,"Share to News Feed",
activity::phrase.site_settings,de,metafox/activity,"Activity Settings",
activity::phrase.snooze_owner_full_name_for_30_days,de,metafox/activity,"Snooze :owner_full_name For 30 Days",
activity::phrase.snooze_shared_owner_full_name_for_30_days,de,metafox/activity,"Snooze :shared_owner_full_name For 30 Days",
activity::phrase.snooze_shared_user_full_name_for_30_days,de,metafox/activity,"Snooze :shared_user_full_name For 30 Days",
activity::phrase.snooze_user_full_name_for_30_days,de,metafox/activity,"Snooze :user_full_name For 30 Days",
activity::phrase.sponsor_in_feed,de,metafox/activity,"Sponsor In Feed",
activity::phrase.status,de,metafox/activity,Status,
activity::phrase.status_background,de,metafox/activity,"Status Background",
activity::phrase.successfully_posted_please_waiting_for_approve,de,metafox/activity,"Successfully posted. Please wait for approval.",
activity::phrase.tag_friends,de,metafox/activity,"Tag Friends",
activity::phrase.thanks_for_editting_your_post_for_approval,de,metafox/activity,"Thanks for editting your post! Please wait for approval.",
activity::phrase.thanks_for_your_post_for_approval,de,metafox/activity,"Thanks for your post! It's been submitted to admins for approval.",
activity::phrase.this_user_has_been_blocked_and_the_post_has_been_declined,de,metafox/activity,"This user has been blocked and the post has been declined.",
activity::phrase.title,de,metafox/activity,Title,
activity::phrase.types,de,metafox/activity,Types,
activity::phrase.unable_to_share_this_post_due_to_privacy_setting,de,metafox/activity,"Unable to share this post due to privacy",
activity::phrase.unpin_post,de,metafox/activity,"Unpin Post",
activity::phrase.unpin_post_on_homepage,de,metafox/activity,"Unpin Post On Home Page",
activity::phrase.unsponsor_in_feed,de,metafox/activity,"Unsponsor In Feed",
activity::phrase.updated_item,de,metafox/activity,"Updated media attachments",
activity::phrase.user_post_approved,de,metafox/activity,":user's post has been approved.",
activity::phrase.user_post_declined,de,metafox/activity,":user's post has been declined.",
activity::phrase.user_privacy.who_can_post_on_your_profile,de,metafox/activity,"Who can post on your profile?",
activity::phrase.user_privacy.who_can_share_a_post,de,metafox/activity,"Who can create posts?",
activity::phrase.user_privacy.who_can_view_your_activities_section_on_your_profile_page,de,metafox/activity,"Who can view the posts or activities on your profile?",
activity::phrase.user_status,de,metafox/activity,"User Status",
activity::phrase.video,de,metafox/activity,Video,
activity::phrase.view_edit_history,de,metafox/activity,"View Edit History",
activity::phrase.your_post_has_been_submitted_to_group_admins_for_approval,de,metafox/activity,"Your post has been submitted to group admins for approval.",
activitypoint::mail.points_added,de,metafox/activity-point,"An administrator gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.points_revoked,de,metafox/activity-point,"{points, plural, one {Your point has been revoked by an administrator.} other {Your points has been revoked by an administrator.}}",
activitypoint::mail.purchase_package_fail,de,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point} other {# activity points}} cannot be processed properly. Please try again later.",
activitypoint::mail.purchase_package_success,de,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point has} other {# activity points have}} been processed successfully.",
activitypoint::mail.received_gifted_points,de,metafox/activity-point,"<b>{user}</b> gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::mail.received_gifted_points_subject,de,metafox/activity-point,"{user} gave you {points, plural, one {one activity point} other {# activity points} }.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_desc,de,metafox/activity-point,"If enabled, users of this role will be allowed to adjust activity points of members in the community.",
activitypoint::permission.can_can_adjust_activity_points_activitypoint_label,de,metafox/activity-point,"Can adjust activity points of members?",
activitypoint::permission.can_can_gift_activity_points_activitypoint_desc,de,metafox/activity-point,,
activitypoint::permission.can_can_gift_activity_points_activitypoint_label,de,metafox/activity-point,"Can gift activity points to members?",
activitypoint::permission.can_can_purchase_points_activitypoint_desc,de,metafox/activity-point,"Enable if allowing users to buy point packages.",
activitypoint::permission.can_can_purchase_points_activitypoint_label,de,metafox/activity-point,"Can purchase activity points?",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_desc,de,metafox/activity-point,"Enable if allowing users to use activity points to purchase items",
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_label,de,metafox/activity-point,"Can use activity points to purchase items?",
activitypoint::permission.can_create_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_package_label,de,metafox/activity-point,"Can create activity point packages?",
activitypoint::permission.can_create_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_setting_label,de,metafox/activity-point,"Can create activity point settings?",
activitypoint::permission.can_delete_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_package_label,de,metafox/activity-point,"Can delete activity point packages?",
activitypoint::permission.can_delete_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_delete_activitypoint_setting_label,de,metafox/activity-point,"Can delete activity point settings?",
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_desc,de,metafox/activity-point,,
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_label,de,metafox/activity-point,"Maximum Activity Points users of this role can send to members in AdminCP > Member Points",
activitypoint::permission.can_moderate_activitypoint_desc,de,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_label,de,metafox/activity-point,"Can moderate activity points ?",
activitypoint::permission.can_moderate_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_package_label,de,metafox/activity-point,"Can moderate activity points package?",
activitypoint::permission.can_moderate_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_moderate_activitypoint_setting_label,de,metafox/activity-point,"Can moderate activity point settings?",
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_desc,de,metafox/activity-point,,
activitypoint::permission.can_period_time_admin_adjust_activity_points_activitypoint_label,de,metafox/activity-point,"The period for sending Activity Points to members in AdminCP > Member Points",
activitypoint::permission.can_update_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_package_label,de,metafox/activity-point,"Can update activity point packages?",
activitypoint::permission.can_update_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_update_activitypoint_setting_label,de,metafox/activity-point,"Can update activity point settings?",
activitypoint::permission.can_view_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_package_label,de,metafox/activity-point,"Can view activity point package details?",
activitypoint::permission.can_view_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_view_activitypoint_setting_label,de,metafox/activity-point,"Can view activity point setting details?",
activitypoint::permission.can_view_any_activitypoint_package_desc,de,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_package_label,de,metafox/activity-point,"Can view all activity point packages?",
activitypoint::permission.can_view_any_activitypoint_setting_desc,de,metafox/activity-point,,
activitypoint::permission.can_view_any_activitypoint_setting_label,de,metafox/activity-point,"Can view all activity point settings?",
activitypoint::phrase.action,de,metafox/activity-point,Action,
activitypoint::phrase.action_type,de,metafox/activity-point,"Action Type",
activitypoint::phrase.activity_point,de,metafox/activity-point,"Activity Point",
activitypoint::phrase.activitypoint,de,metafox/activity-point,"Activity Points",
activitypoint::phrase.activitypoint_notification_type,de,metafox/activity-point,"Activity Point Notifications",
activitypoint::phrase.activity_points,de,metafox/activity-point,"Activity Points",
activitypoint::phrase.activity_post_create_action,de,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_create_description,de,metafox/activity-point,"Post a new post",
activitypoint::phrase.activity_post_post_on_other_action,de,metafox/activity-point,"Share a post on other profile",
activitypoint::phrase.activity_post_post_on_wall_action,de,metafox/activity-point,"Share a post on own profile",
activitypoint::phrase.add_new_package,de,metafox/activity-point,"Add New Package",
activitypoint::phrase.adjust,de,metafox/activity-point,Adjust,
activitypoint::phrase.adjust_point,de,metafox/activity-point,"Adjust points",
activitypoint::phrase.adjust_points,de,metafox/activity-point,"Adjust points",
activitypoint::phrase.announcement_create_action,de,metafox/activity-point,"Create a new announcement",
activitypoint::phrase.announcement_create_description,de,metafox/activity-point,"Create an new announcement",
activitypoint::phrase.app,de,metafox/activity-point,App,
activitypoint::phrase.app_name,de,metafox/activity-point,"Activity Point",
activitypoint::phrase.blog_create_action,de,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.blog_create_description,de,metafox/activity-point,"Publish a new blog",
activitypoint::phrase.browse_package_transaction,de,metafox/activity-point,,
activitypoint::phrase.browse_setting,de,metafox/activity-point,"Point Settings",
activitypoint::phrase.browse_statistic,de,metafox/activity-point,"Point Members",
activitypoint::phrase.browse_transaction,de,metafox/activity-point,"Transaction History",
activitypoint::phrase.change_point_setting,de,metafox/activity-point,"Change Point Setting",
activitypoint::phrase.comment_create_action,de,metafox/activity-point,"Add a new comment",
activitypoint::phrase.comment_create_description,de,metafox/activity-point,"Add a new comment",
activitypoint::phrase.conversation_rate_desc,de,metafox/activity-point,,
activitypoint::phrase.conversation_rate_label,de,metafox/activity-point,"Conversation Rate",
activitypoint::phrase.date,de,metafox/activity-point,Date,
activitypoint::phrase.define_a_price,de,metafox/activity-point,"Define a price in this currency",
activitypoint::phrase.earn_point,de,metafox/activity-point,"Earned Points",
activitypoint::phrase.edit_package,de,metafox/activity-point,"Edit Package",
activitypoint::phrase.enter_member_name,de,metafox/activity-point,"Enter member name",
activitypoint::phrase.event_create_action,de,metafox/activity-point,"Create a new event",
activitypoint::phrase.event_create_description,de,metafox/activity-point,"Create a new event",
activitypoint::phrase.feed_create_action,de,metafox/activity-point,"Create a new post",
activitypoint::phrase.feed_create_description,de,metafox/activity-point,"Create a new post",
activitypoint::phrase.forum_post_create_action,de,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_post_create_description,de,metafox/activity-point,"Create a new forum post",
activitypoint::phrase.forum_thread_create_action,de,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.forum_thread_create_description,de,metafox/activity-point,"Create a new forum thread",
activitypoint::phrase.gifted_point_is_required,de,metafox/activity-point,"Gifted point is required",
activitypoint::phrase.gifted_point_to_user,de,metafox/activity-point,"Your points are gifted away.",
activitypoint::phrase.gift_points,de,metafox/activity-point,"Gift Points",
activitypoint::phrase.gift_points_text,de,metafox/activity-point,"You are about to gift activity points to user <b>{user}</b>. These points will be taken from your activity points. At this moment, you have { current_points, plural, =0 {no point} one {only one point} other {# points}} available to gift away.",
activitypoint::phrase.group_create_action,de,metafox/activity-point,"Create a new group",
activitypoint::phrase.group_create_description,de,metafox/activity-point,"Create a new group",
activitypoint::phrase.how_many_points,de,metafox/activity-point,"How many points do you want to gift away?",
activitypoint::phrase.how_to_earn,de,metafox/activity-point,"How To Earn",
activitypoint::phrase.link_create_action,de,metafox/activity-point,"Post a link to feed",
